T_in,pres_in,qv_in,qc_in,L,Cp,T_out,qv_out,qc_out,delta T,delta qv,delta qc
238.4993855559211,18012.372248588308,1.3040122017264541e-07,1e-12,2500000.0,1004.5,238.4993855534323,1.3040222017264541e-07,0.0,2.4888038296921877e-09,-1.000000000001134e-12,1e-12
228.26031918380554,36986.45129023874,1.3662866489832185e-06,1.042404007021558e-12,2500000.0,1004.5,228.2603191812112,1.3662876913872254e-06,0.0,2.594333636807278e-09,-1.0424040069437115e-12,1.042404007021558e-12
212.31370980059643,20464.60458941104,4.921594978223939e-07,1.0866061138545958e-12,2500000.0,1004.5,212.31370979789207,4.921605844285077e-07,0.0,2.7043540740123717e-09,-1.0866061138232173e-12,1.0866061138545958e-12
263.98937491738855,69140.37879778883,2.6033982901779406e-05,1.1326825671361537e-12,2500000.0,1004.5,263.9893749145695,2.6033984034461974e-05,0.0,2.819035671564052e-09,-1.1326825673956594e-12,1.1326825671361537e-12
297.82996145477534,1349.8667187354688,0.017805840294280124,1.1807128466661915e-12,2500000.0,1004.5,305.67934878592905,0.014651956464622553,0.003153883830838284,-7.849387331153707,0.0031538838296575715,-0.0031538838296575715
206.36810129540874,64969.760533335946,5.4755559907868765e-08,1.2307798025066632e-12,2500000.0,1004.5,206.36810129234556,5.475679068767127e-08,0.0,3.0631781555712223e-09,-1.2307798025079046e-12,1.2307798025066632e-12
302.94989022262234,82982.1440169997,0.0002794616240655852,1.2829697978941474e-12,2500000.0,1004.5,302.9498902194293,0.000279461625348555,0.0,3.1930653676681686e-09,-1.28296982412901e-12,1.2829697978941474e-12
304.2839161918572,55322.86549719475,0.0005898473685450026,1.3373728582124977e-12,2500000.0,1004.5,304.4844457570606,0.0005092745892462771,8.057278063609834e-05,-0.2005295652033965,8.057277929872549e-05,-8.057277929872549e-05
220.55248873615722,55043.95507838623,5.138025844605743e-07,1.3940828262825757e-12,2500000.0,1004.5,220.55248873268764,5.138039785434005e-07,0.0,3.4695801787165692e-09,-1.3940828262442429e-12,1.3940828262825757e-12
264.84768530983126,52525.52951192573,1.7772903142828453e-05,1.4531975242368953e-12,2500000.0,1004.5,264.84768530621454,1.7772904596025977e-05,0.0,3.6167193684377708e-09,-1.4531975239308065e-12,1.4531975242368953e-12
197.2294416050159,99846.50036171623,7.341858736325664e-09,1.5148189222583472e-12,2500000.0,1004.5,197.2294416012458,7.3433735552479224e-09,0.0,3.770082912524231e-09,-1.514818922258412e-12,1.5148189222583472e-12
289.85762651387586,76318.72947318728,0.00011339695257588187,1.5790533144741727e-12,2500000.0,1004.5,289.85762650994593,0.00011339695415493518,0.0,3.929926606360823e-09,-1.5790533079229965e-12,1.5790533144741727e-12
227.97639197042545,79250.46148774993,1.2712976166958702e-06,1.6460115023085496e-12,2500000.0,1004.5,227.97740038280253,8.661175235870976e-07,4.0518173912027496e-07,-0.001008412377075274,4.0518009310877263e-07,-4.0518009310877263e-07
204.72683558122975,20826.240832829797,2.6530324893778215e-07,1.7158089856100066e-12,2500000.0,1004.5,204.72704784665171,1.8001500239531962e-07,8.528996235144814e-08,-0.0002122654219647302,8.528824654246254e-08,-8.528824654246254e-08
190.35494359212208,74444.95499903944,4.021925291091568e-09,1.7885661618834654e-12,2500000.0,1004.5,190.3549435876707,4.023713857253452e-09,0.0,4.451379709280445e-09,-1.7885661618834985e-12,1.7885661618834654e-12
221.8493418833608,34232.4386983404,1.0807689503671296e-06,1.864408533970485e-12,2500000.0,1004.5,221.84950859002754,1.0137862116774572e-06,6.698460309820642e-08,-0.00016670666673235246,6.698273868967245e-08,-6.698273868967245e-08
237.91751912241824,59187.90490238444,2.184461905455467e-06,1.943466926536022e-12,2500000.0,1004.5,237.91751911758135,2.1844638489223936e-06,0.0,4.836891775994445e-09,-1.943466926442977e-12,1.943466926536022e-12
205.9110688138939,69317.05125892643,3.993467447363744e-08,2.0258777117350212e-12,2500000.0,1004.5,205.9110688088519,3.993670035134917e-08,0.0,5.042011252953671e-09,-2.0258777117331435e-12,2.0258777117350212e-12
209.98056482295823,48548.2147638859,3.813507272760146e-08,2.1117830444482423e-12,2500000.0,1004.5,209.98056481770243,3.813718451064591e-08,0.0,5.25579935128917e-09,-2.111783044446697e-12,2.1117830444482423e-12
312.58175165439616,88533.43671846202,0.0006252541095101698,2.2013311074930322e-12,2500000.0,1004.5,312.88573312689925,0.0005031143538584149,0.00012213975785308598,-0.3039814725030965,0.00012213975565175488,-0.00012213975565175488
231.17429214025583,13263.510927046376,6.671445667541791e-06,2.294676367231941e-12,2500000.0,1004.5,231.17429213454483,6.671447962218158e-06,0.0,5.7110014495265204e-09,-2.2946763668827102e-12,2.294676367231941e-12
263.77370173512503,39318.11355514762,5.164804620545448e-06,2.391979840020237e-12,2500000.0,1004.5,263.7737017291719,5.164807012525288e-06,0.0,5.953154413873563e-09,-2.391979839975458e-12,2.391979840020237e-12
247.13714939723727,82288.66890946316,3.3349964656196555e-06,2.4934093699518803e-12,2500000.0,1004.5,247.13714939103167,3.3349989590290253e-06,0.0,6.205596037034411e-09,-2.4934093697964754e-12,2.4934093699518803e-12
258.09204198976795,54024.203184385144,2.5318662547143404e-05,2.599139918382938e-12,2500000.0,1004.5,258.1005163717885,2.1913655851279527e-05,3.405009295003795e-06,-0.00847438202055173,3.405006695863877e-06,-3.405006695863877e-06
230.99738530803708,69116.61630655332,1.1395057503202837e-06,2.709353865732049e-12,2500000.0,1004.5,230.99738530129403,1.1395084596741494e-06,0.0,6.743050562363351e-09,-2.70935386578153e-12,2.709353865732049e-12
312.3788697956752,75663.34796462212,0.0004592011962910125,2.8242413260784356e-12,2500000.0,1004.5,312.3788697886462,0.0004592011991152538,0.0,7.028972959233215e-09,-2.824241329083682e-12,2.8242413260784356e-12
254.45222204831305,95411.00860020338,1.2961744270967634e-05,2.94400047510004e-12,2500000.0,1004.5,254.46172052053421,9.14525813249896e-06,3.8164890824691485e-06,-0.00949847222116773,3.816486138468674e-06,-3.816486138468674e-06
270.41602092611555,18739.70226319561,1.6459609264001252e-05,3.0688378919176393e-12,2500000.0,1004.5,270.41602091847784,1.6459612332839144e-05,0.0,7.637709131813608e-09,-3.0688378914618935e-12,3.0688378919176393e-12
301.8475322083642,51438.066861002386,0.00040535271998910956,3.1989689154345378e-12,2500000.0,1004.5,301.8475322004026,0.0004053527231880785,0.0,7.961602932482492e-09,-3.198968921789419e-12,3.1989689154345378e-12
206.71623807469544,71347.47394808933,6.547028270861499e-08,3.3346180157863694e-12,2500000.0,1004.5,206.71623806639624,6.547361732663078e-08,0.0,8.299195997096831e-09,-3.3346180157894754e-12,3.3346180157863694e-12
304.6783475589761,46515.94515191736,0.00021369298723838135,3.476019181541974e-12,2500000.0,1004.5,304.678347550325,0.00021369299071440052,0.0,8.651113603264093e-09,-3.476019168682787e-12,3.476019181541974e-12
247.83805927455896,2115.0458394230827,0.00032588111368880385,3.62341632332315e-12,2500000.0,1004.5,248.07405268725248,0.00023105896046854958,9.482215684367059e-05,-0.23599341269351726,9.482215322025427e-05,-9.482215322025427e-05
253.66562848059914,85149.83034907257,1.137386304556384e-06,3.777063694539372e-12,2500000.0,1004.5,253.66562847119877,1.1373900816200785e-06,0.0,9.400366707268404e-09,-3.7770636945909304e-12,3.777063694539372e-12
211.90838026351574,32090.49359656538,4.346998946803922e-07,3.937226329963475e-12,2500000.0,1004.5,211.90867109454888,3.1784398556952134e-07,1.1685984633720084e-07,-0.0002908310331406483,1.1685590911087088e-07,-1.1685590911087088e-07
224.19792305893804,15110.193615289585,1.984431659046875e-06,4.104180502904709e-12,2500000.0,1004.5,224.19792304872357,1.9844357632273778e-06,0.0,1.0214478152192896e-08,-4.1041805027852176e-12,4.104180502904709e-12
192.95145568220477,63661.270217224876,3.558184180302658e-10,4.278214201767621e-12,2500000.0,1004.5,192.95145567155714,3.600966322320334e-10,0.0,1.0647625003912253e-08,-4.278214201767627e-12,4.278214201767621e-12
190.74871617967477,69221.57931017742,9.76544820977753e-10,4.459627626819086e-12,2500000.0,1004.5,190.74871616857564,9.81004448604572e-10,0.0,1.1099132279923651e-08,-4.459627626819039e-12,4.459627626819086e-12
197.4482497979039,62955.043793326164,3.030147429606516e-08,4.648733708020257e-12,2500000.0,1004.5,197.44826173130443,2.5506633971548323e-08,4.799489058224858e-09,-1.1933400514863024e-05,4.794840324516837e-09,-4.794840324516837e-09
233.2554818889837,88918.50563812035,8.54043901584942e-07,4.8458586448165e-12,2500000.0,1004.5,233.2554818769233,8.540487474435868e-07,0.0,1.2060382914569345e-08,-4.8458586448153225e-12,4.8458586448165e-12
206.435635510021,86164.20257723621,5.231926033878978e-08,5.051342468816756e-12,2500000.0,1004.5,206.43563549744923,5.23243116812586e-08,0.0,1.2571774732350605e-08,-5.051342468819667e-12,5.051342468816756e-12
