T_in,pres_in,qv_in,qc_i,L,Cp,T_out,qv_out,qc_out,delta T,delta qv,delta qc
216.01899367007067,38297.73622797475,2.1825493902660854e-07,0.0036332563014893167,2500000.0,1004.5,216.01841234283523,4.5183222223031414e-07,0.003633022724206113,0.0005813272354373566,-2.335772832037056e-07,2.335772832035357e-07
236.6662907640868,67754.3313526687,1.0582374032767821e-06,6.342968824708861e-05,2500000.0,1004.5,236.66271225871085,2.4960808633263976e-06,6.1991844787039e-05,0.0035785053759411767,-1.4378434600496155e-06,1.4378434600496138e-06
234.52050063911526,31358.197531090464,7.112730315923467e-07,0.002189071289745068,2500000.0,1004.5,234.51145735485687,4.344864646615039e-06,0.0021854376981300452,0.0090432842583823,-3.633591615022692e-06,3.6335916150228784e-06
217.72740490076498,53690.575733956466,8.708761151035456e-09,0.003337054496660619,2500000.0,1004.5,217.72643731331144,3.9748539998340724e-07,0.003336665720021787,0.0009675874535446383,-3.887766388323718e-07,3.8877663883227567e-07
321.95300447670536,53628.31139012417,0.002016350523645794,0.0037451775086817184,2500000.0,1004.5,323.6092109879258,0.0013508867474374196,0.004410641284890092,-1.6562065112204323,0.0006654637762083743,-0.0006654637762083739
299.6220886680067,64659.30093251106,0.00035837058502946503,0.003114335910237638,2500000.0,1004.5,299.6864029289229,0.00033252911499333465,0.0031401773802737683,-0.06431426091620551,2.5841470036130378e-05,-2.5841470036130215e-05
205.5151765161971,12443.181875648801,1.3134035491632498e-07,0.004851744888682153,2500000.0,1004.5,205.51466505748323,3.3684446614972196e-07,0.00485153938457092,0.0005114587138734805,-2.0550411123339698e-07,2.0550411123330947e-07
321.29225812541154,11298.652244595985,0.006626676022426552,0.0035509900154404267,2500000.0,1004.5,322.2256044793098,0.00625165745743021,0.003926008580436768,-0.9333463538982869,0.0003750185649963418,-0.00037501856499634134
268.38927509371933,71992.93902728749,2.4183572589514877e-05,0.004417517040831764,2500000.0,1004.5,268.3571769280085,3.70806155721233e-05,0.004404619997849156,0.03209816571080637,-1.2897042982608424e-05,1.2897042982608353e-05
207.37782643970857,43423.406947668824,9.076233019048481e-08,0.0004619479299897239,2500000.0,1004.5,207.37773927724817,1.2578420678080888e-07,0.00046191290811313355,8.716246040307851e-05,-3.502187659032407e-08,3.502187659033774e-08
222.52374652292045,72131.61833575291,6.455977760567469e-07,0.003919379893049332,2500000.0,1004.5,222.52405969756597,5.197642034851977e-07,0.0039195057266219035,-0.0003131746455267148,1.258335725715492e-07,-1.2583357257133637e-07
256.5185776837946,46175.80129126808,2.086637591355796e-05,0.003715061334299907,2500000.0,1004.5,256.514519145451,2.249709662001157e-05,0.0037134306135934536,0.004058538343599594,-1.6307207064536122e-06,1.6307207064535784e-06
261.825802525696,5407.538405981622,0.00030689667653844866,0.0026396167817052054,2500000.0,1004.5,261.85148589558906,0.00029657709851541405,0.00264993635972824,-0.025683369893044983,1.0319578023034609e-05,-1.0319578023034771e-05
238.82357648709666,40120.0202597404,6.909412750883117e-06,0.003626844258037104,2500000.0,1004.5,238.82778877802608,5.216914255449261e-06,0.003628536756532538,-0.00421229092941644,1.6924984954338558e-06,-1.6924984954339202e-06
307.73828614667525,53740.42013002359,0.0007544355410223643,0.004234795672115168,2500000.0,1004.5,308.03128721147993,0.0006367077131838332,0.004352523499953699,-0.2930010648046846,0.0001177278278385311,-0.000117727827838531
200.09804767026898,44003.613760230335,2.2572261957384485e-08,0.0033001584567143873,2500000.0,1004.5,200.0979871208499,4.690101854726009e-08,0.0033001341279577973,6.054941908928413e-05,-2.4328756589875605e-08,2.4328756590037692e-08
211.15931746652552,7670.000038049983,7.075443992878419e-07,0.004013657529477331,2500000.0,1004.5,211.15808467174423,1.2028813424086663e-06,0.004013162192534211,0.0012327947812877937,-4.953369431208244e-07,4.953369431206361e-07
315.78154518358485,63905.46242340695,0.0008481639315787851,8.56735684909632e-05,2500000.0,1004.5,315.83664967475187,0.0008260229470278754,0.00010781455304187288,-0.05510449116701466,2.2140984550909687e-05,-2.2140984550909687e-05
193.51262778432627,43498.38385736619,3.3109661689609086e-08,0.0002648679164449452,2500000.0,1004.5,193.51264395322423,2.6612998493646372e-08,0.0002648744131081412,-1.616889795741372e-05,6.496663195962714e-09,-6.496663195962055e-09
300.9835143788195,76867.03814875419,0.00013913894481818175,0.0006734513122239288,2500000.0,1004.5,300.5758147465042,0.00030295265708247594,0.0005096375999596347,0.4076996323153139,-0.0001638137122642942,0.00016381371226429416
311.6557331103295,8943.591636183011,0.006811511447914858,0.0035657040742061203,2500000.0,1004.5,316.7336296139104,0.00477121263277605,0.005606002889344928,-5.0778965035809165,0.0020402988151388083,-0.002040298815138808
263.4198191091901,83900.93893116323,1.6400893661981664e-05,0.0009174489833136018,2500000.0,1004.5,263.4066745941316,2.1682359812493738e-05,0.0009121675171630898,0.013144515058513662,-5.281466150512073e-06,5.281466150512063e-06
245.8946001973316,69167.37844016317,7.634072932402374e-06,0.004334309900839107,2500000.0,1004.5,245.89887339574443,5.917101810127995e-06,0.004336026871961381,-0.004273198412818147,1.7169711222743793e-06,-1.7169711222743064e-06
223.9814345275534,3571.2241085225332,1.1841413785709414e-05,0.0033119564243657635,2500000.0,1004.5,223.98008944894215,1.2381866371713666e-05,0.0033114159717797594,0.001345078611251438,-5.40452586004252e-07,5.404525860040928e-07
194.17512300070126,80320.04969945682,1.711147261979417e-08,0.004146870064039944,2500000.0,1004.5,194.17512716399597,1.543866080424942e-08,0.004146871736851759,-4.1632947045400215e-06,1.6728118155447494e-09,-1.6728118152828375e-09
