T_in,pres_in,qv_in,qc_in,L,Cp,T_out,qv_out,qc_out,delta T,delta qv,delta qc
252.0172228125328,84796.21786295212,8.625577500219662e-06,0.004946690765113927,2500000.0,1004.5,252.01792297626915,8.344251710951378e-06,0.0049469720909031956,0.0007001637363543978,2.813257892682837e-07,-2.813257892683718e-07
195.20821617464568,6043.147463816907,1.2688457978128288e-07,0.0010688397370789255,2500000.0,1004.5,195.20797454844208,2.2396998838680887e-07,0.00106874265167032,-0.00024162620360357323,-9.708540860552598e-08,9.708540860543617e-08
311.7407351293391,90851.32596897062,0.00040351262465701515,0.004795103068517345,2500000.0,1004.5,311.5787350015209,0.0004686042760143782,0.004730011417159982,-0.16200012781820305,-6.509165135736304e-05,6.509165135736277e-05
236.49219447252904,9284.945485619266,2.0155903322605247e-05,0.0002779662691930096,2500000.0,1004.5,236.49780640763564,1.7901027796771646e-05,0.00028022114471884323,0.0056119351066001855,2.254875525833601e-06,-2.254875525833618e-06
195.02825799716499,87662.38510479154,5.200845078801475e-09,0.0034093004282547586,2500000.0,1004.5,195.02823305544152,1.522242956993341e-08,0.0034092904066702675,-2.494172346700907e-05,-1.0021584491131936e-08,1.0021584491079483e-08
294.55454566335334,76259.67181741551,0.00013809279469139893,0.0013773177657617158,2500000.0,1004.5,294.3808651849717,0.0002078776109051315,0.0013075329495479833,-0.17368047838164102,-6.978481621373257e-05,6.978481621373249e-05
291.92435799166236,34787.74237260376,0.00015373882569995285,0.004306171968139029,2500000.0,1004.5,291.34296711586387,0.00038734167959579617,0.004072569114243186,-0.5813908757984905,-0.00023360285389584332,0.0002336028538958432
252.40793939008202,75880.55812409401,5.6479761123351435e-06,0.004989974089575972,2500000.0,1004.5,252.39798770056962,9.646564958421693e-06,0.004985975500729886,-0.009951689512405437,-3.9985888460865495e-06,3.998588846086323e-06
219.77770488811666,69063.5505522425,2.790669408610398e-07,0.001342538299605865,2500000.0,1004.5,219.77741680632022,3.9481820666789664e-07,0.001342422548340058,-0.00028808179644101983,-1.1575126580685685e-07,1.1575126580691021e-07
256.89129696508286,43659.42462446685,9.901828629675371e-06,0.004712828660098844,2500000.0,1004.5,256.85485057725924,2.4545987257205674e-05,0.0046981845014713135,-0.03644638782361653,-1.4644158627530303e-05,1.464415862753067e-05
314.41697583588183,46498.17732911066,0.0009423516931915191,0.004599095591979356,2500000.0,1004.5,314.13144816090056,0.0010570767129990013,0.004484370572171874,-0.2855276749812674,-0.00011472501980748224,0.00011472501980748246
201.34814929797827,55747.10404126195,6.933568437404301e-09,0.0022830328679981538,2500000.0,1004.5,201.34805999928136,4.2813784852883946e-08,0.002282996987781738,-8.929869690632586e-05,-3.5880216415479643e-08,3.588021641560621e-08
